stop_name,lng,lat
MENARA OLYMPIA,101.7002,3.14869
MENARA OLYMPIA,101.70066,3.1491
HUTAN SIMPAN BKT NENAS,101.70193,3.14922
KL TOWER (SELATAN),101.70632,3.15053
KL TOWER (SELATAN),101.70525,3.1504
THE WELD,101.70714,3.1506
THE WELD,101.70695,3.15076
WISMA GOLDHILL,101.70841,3.15038
WISMA BOUSTEAD,101.70908,3.15035
MEDAN PASAR,101.69628,3.14808
BGN MAYBANK,101.69671,3.14686
HAB MEDAN PASAR (HL),101.69743,3.14752
HERITAGE TRAIL @ JLN TUN HS LEE,101.69774,3.14858
HAB LEBUH PUDU - TSS,101.69802,3.14641
MAHKAMAH TINGGI KUALA LUMPUR,101.6957,3.15044
LRT MASJID JAMEK,101.6964,3.14926
LRT MASJID JAMEK,101.69648,3.14956
HAB LEBUH PUDU (TP),101.69851,3.14686
MENARA MAYBANK,101.69969,3.14642
KOTARAYA,101.69803,3.14525
KOTARAYA,101.69813,3.14548
CENTRAL MARKET (SELATAN),101.6955,3.1445
TUNG SHIN HOSPITAL,101.70459,3.14523
SWISS GARDEN HOTEL,101.70604,3.14436
MONORAIL IMBI,101.70916,3.14282
KL TIMES SQUARE,101.71065,3.14327
SUNGEI WANG PLAZA,101.71143,3.1455
LIFE CENTER,101.70828,3.15337
MONORAIL RAJA CHULAN,101.70998,3.1512
PWTC (SELATAN),101.69179,3.16658
PWTC (SELATAN),101.69242,3.16696
CHOW KIT (SELATAN),101.6975,3.16627
HOSPITAL KUALA LUMPUR (BARAT),101.69897,3.17272
HOSPITAL KUALA LUMPUR (SELATAN),101.69854,3.16935
MENARA AMBANK,101.71111,3.16084
BGN IMR,101.69958,3.16745
SK RAJA MUDA ABDUL AZIZ,101.70734,3.16797
SK RAJA MUDA ABDUL AZIZ,101.70645,3.16783
YAYASAN SELANGOR,101.70883,3.16796
YAYASAN SELANGOR,101.70876,3.16783
SETIA SKY CONDOMINIUM,101.7103,3.168
KG BARU (UTARA),101.70435,3.16797
KG BARU (UTARA),101.70452,3.16785
WANGSA MELAWATI,101.74722,3.20292
WANGSA MELAWATI,101.74683,3.20298
PERUMAHAN WANGSA BUDI,101.74583,3.20335
PERUMAHAN WANGSA BUDI,101.74566,3.204
PERUMAHAN WANGSA CERIA,101.74513,3.20491
PERUMAHAN WANGSA CERIA,101.74521,3.20495
WANGSA SETIA COMMERCIAL,101.74342,3.20848
PERUMAHAN WANGSA MURNI,101.74448,3.20711
PERUMAHAN WANGSA MURNI,101.7444,3.20703
DEWAN SERBAGUNA DBKL TMN SEGAR,101.74726,3.09568
DEWAN SERBAGUNA DBKL TMN SEGAR,101.74724,3.09552
SK TMN SEGAR,101.7461,3.09139
SK TMN SEGAR,101.74597,3.09141
FLAT DESA AMAN,101.73901,3.09789
CHERAS APARTMENT,101.74682,3.08875
CHERAS BUSINESS CENTER (BARAT),101.74052,3.10012
CHERAS BUSINESS CENTER (BARAT),101.7407,3.10057
HOSPITAL PANTAI CHERAS,101.741,3.10188
HOSPITAL PANTAI CHERAS,101.74106,3.10178
KG CHERAS BARU (SELATAN),101.7497,3.10461
KG CHERAS BARU (SELATAN),101.7498,3.10447
74TH SQUARDON ROYAL SIGNAL REGIMENT,101.71632,3.07457
75TH SQUARDON ROYAL SIGNAL REGIMENT,101.71682,3.07454
BANDAR TASIK SELATAN (UTARA),101.71399,3.07361
BANDAR TASIK SELATAN (UTARA),101.71365,3.07373
DESA TASIK,101.71521,3.07206
DESA TASIK,101.71496,3.07224
FLAT DESA TASEK (UTARA),101.7157,3.06987
FLAT DESA TASEK (SELATAN),101.71386,3.06751
PEKAN SG BESI,101.71039,3.06327
LRT BUKIT JALIL,101.69139,3.05808
LRT BUKIT JALIL,101.69152,3.05851
STADIUM BUKIT JALIL (UTARA),101.68985,3.05787
LRT BANDAR TASIK SELATAN,101.71205,3.0761
FLAT TMN MELATI (BLK E),101.7253,3.22686
FLAT TMN MELATI (BLK E),101.72533,3.22705
TMN CERMELANG,101.723,3.22597
TMN CERMELANG,101.72275,3.22609
TMN PERWIRA 1,101.72127,3.22428
TMN PERWIRA 2,101.7216,3.22494
PPR SRI TIOMAN,101.72046,3.22146
PPR SRI TIOMAN,101.72034,3.22126
LRT TMN MELATI,101.72151,3.21962
MASTIKA TERRACE,101.7234,3.21976
TAR COLLEGE,101.7293,3.21521
TAR COLLEGE,101.72853,3.21487
PULAPOT,101.72863,3.20991
PULAPOT,101.72886,3.20985
TMN BUNGA RAYA (TIMUR),101.72965,3.21113
UTAR (TIMUR),101.7317,3.21398
UTAR (BARAT),101.73494,3.21553
TAR VILLA SETAPAK,101.72946,3.20744
TAR VILLA SETAPAK,101.72974,3.20694
LRT WANGSA MAJU,101.73162,3.20578
ALPHA ANGLE AEON,101.73261,3.20475
ALPHA ANGLE AEON,101.73343,3.20439
FLAT WANGSA MAJU SEK. 2 (TIMUR),101.73228,3.20897
FLAT WANGSA MAJU SEK. 2 (TIMUR),101.7325,3.20906
PUSAT PENJAJA WANGSA MAJU SEK. 2,101.73313,3.21125
PUSAT PENJAJA WANGSA MAJU SEK. 3,101.73271,3.21068
FLAT WANGSA MAJU SEK. 2 (UTARA),101.73531,3.21189
